"","ep"
"1",0.428647214854111
"12",0.299206349206349
"2",0.227272727272727
"5",0.0536585365853659
"9",0.0478645066273932
"15",0.0238415043653459
"3",0.00515463917525773
"8",0.00256739409499358
"4",0.00166547704020937
"7",0.000272479564032698
"14",0
"13",0
"11",0
"10",0
"6",0
